run,train_size,Loss,Accuracy
0,40,1.9348207712173462,0.5
0,80,1.8751269578933716,0.6125
0,120,1.8811810612678528,0.6083333333333333
0,160,1.7459333340326946,0.7375
0,200,1.7820631861686707,0.71
0,240,1.7761007249355316,0.6833333333333333
0,280,1.8632230043411255,0.6392857142857142
0,320,1.7075091361999513,0.775
0,360,1.6778644919395447,0.7916666666666666
0,400,1.6680949585778373,0.7925
0,440,1.6879644564219884,0.775
0,480,1.6657337546348572,0.7854166666666667
0,520,1.6826571226119995,0.8
0,560,1.6975170771280925,0.775
0,600,1.6647852063179016,0.79
0,640,1.6814379215240478,0.7953125
0,680,1.670497092333707,0.7970588235294118
0,720,1.6742356419563293,0.7944444444444444
0,760,1.6789413491884868,0.8013157894736842
0,800,1.692386764746446,0.79
0,840,1.676521292754582,0.7857142857142857
0,880,1.6681981342179435,0.8022727272727272
0,920,1.6725940863291422,0.7760869565217391
0,960,1.6781287352244059,0.7979166666666667
0,1000,1.6718640699982643,0.802
0,1040,1.68211433466743,0.7798076923076923
0,1080,1.673315672313466,0.7944444444444444
0,1120,1.673574169476827,0.8026785714285715
0,1160,1.6742294587587054,0.8068965517241379
0,1200,1.683700298008166,0.7916666666666666
0,1240,1.664282214641571,0.8040322580645162
0,1280,1.653557962179184,0.80234375
0,1320,1.6708490053812664,0.8015151515151515
0,1360,1.6703854907642712,0.8
0,1400,1.6722065968946977,0.7971428571428572
0,1440,1.6567393489505933,0.8097222222222222
0,1480,1.6506087332963943,0.8081081081081081
0,1520,1.6505078275998433,0.8269736842105263
0,1560,1.660949444770813,0.8121794871794872
0,1600,1.6526974821090699,0.815
0,1640,1.6588014226693373,0.8073170731707318
0,1680,1.6573180887434218,0.8136904761904762
0,1720,1.6521990873195507,0.8151162790697675
0,1760,1.659237116575241,0.80625
0,1800,1.662736913253521,0.8144444444444444
0,1840,1.64114955787001,0.8206521739130435
0,1880,1.6411363045374552,0.8132978723404255
0,1920,1.7468173305193584,0.7171875
0,1960,1.6530208433828046,0.8122448979591836
0,2000,1.6443792171776295,0.823
1,40,1.9718682765960693,0.55
1,80,1.8531466722488403,0.65
1,120,1.8157800436019897,0.6833333333333333
1,160,1.8012773990631104,0.65625
1,200,1.8356322050094604,0.61
1,240,1.7654311954975128,0.7041666666666667
1,280,1.724941658973694,0.7428571428571429
1,320,1.7550142049789428,0.70625
1,360,1.6963634888331096,0.7833333333333333
1,400,1.7190952130726405,0.7425
1,440,1.7501916204180037,0.7022727272727273
1,480,1.7364795356988907,0.7354166666666667
1,520,1.7123543686336942,0.7519230769230769
1,560,1.814966360727946,0.6553571428571429
1,600,1.706033742427826,0.7733333333333333
1,640,1.6925952672958373,0.7828125
1,680,1.6939152479171753,0.7955882352941176
1,720,1.6639514764149983,0.7944444444444444
1,760,1.6610707839330037,0.8065789473684211
1,800,1.6671354128764226,0.80125
1,840,1.7132230656487601,0.7440476190476191
1,880,1.7282219784600394,0.7397727272727272
1,920,1.6703454732894898,0.8076086956521739
1,960,1.6515798886617026,0.8145833333333333
1,1000,1.6306796297430992,0.824
1,1040,1.665516081978293,0.8076923076923077
1,1080,1.6504656567293055,0.8148148148148148
1,1120,1.649350232548184,0.8089285714285714
1,1160,1.7433489059147083,0.7267241379310345
1,1200,1.6488310851548846,0.825
1,1240,1.6506731748580932,0.8185483870967742
1,1280,1.648255866765976,0.81484375
1,1320,1.6488681747799827,0.818939393939394
1,1360,1.6844558715820312,0.7838235294117647
1,1400,1.6809088696133008,0.7721428571428571
1,1440,1.637997549513112,0.8236111111111111
1,1480,1.6450415949026744,0.8263513513513514
1,1520,1.6389796485503514,0.8269736842105263
1,1560,1.663624005317688,0.8006410256410257
1,1600,1.640332760810852,0.82875
1,1640,1.6512506741743822,0.8128048780487804
1,1680,1.655316533865752,0.8053571428571429
1,1720,1.6459445511853252,0.8232558139534883
1,1760,1.6426257405962263,0.8130681818181819
1,1800,1.6254536447853878,0.83
1,1840,1.6395992903873837,0.8222826086956522
1,1880,1.641953706741333,0.8175531914893617
1,1920,1.643845013777415,0.8260416666666667
1,1960,1.6570704098670714,0.814795918367347
1,2000,1.642834346741438,0.818
2,40,1.873931884765625,0.5
2,80,1.7976793050765991,0.7
2,120,1.7839043736457825,0.675
2,160,1.8068206707636516,0.68125
2,200,1.8419224619865417,0.64
2,240,1.8132303655147552,0.65
2,280,1.82259681224823,0.6142857142857143
2,320,1.7138523578643798,0.765625
2,360,1.739358365535736,0.7416666666666667
2,400,1.7037305661610194,0.77
2,440,1.6987311669758387,0.7727272727272727
2,480,1.7510109394788742,0.6979166666666666
2,520,1.6838897466659546,0.7538461538461538
2,560,1.6990819507175021,0.7767857142857143
2,600,1.7017706155776977,0.7733333333333333
2,640,1.7054551124572754,0.759375
2,680,1.7142876928502864,0.7691176470588236
2,720,1.7197570999463399,0.7402777777777778
2,760,1.7118781904379528,0.7578947368421053
2,800,1.7653657564750085,0.69875
2,840,1.6623656409127372,0.8023809523809524
2,880,1.642728933266231,0.8204545454545454
2,920,1.7141873518625894,0.7554347826086957
2,960,1.7121551911036172,0.7604166666666666
2,1000,1.646936058998108,0.823
2,1040,1.6617450573865105,0.8028846153846154
2,1080,1.6658809044781853,0.8185185185185185
2,1120,1.643694606092241,0.8294642857142858
2,1160,1.6813014996679205,0.7810344827586206
2,1200,1.6440810843517906,0.8216666666666667
2,1240,1.6657556176185608,0.8
2,1280,1.6525492787361145,0.815625
2,1320,1.6479523408980596,0.8174242424242424
2,1360,1.6552665721286426,0.8139705882352941
2,1400,1.6654581806876443,0.8
2,1440,1.6512170563573423,0.8215277777777777
2,1480,1.6910651127497356,0.7695945945945946
2,1520,1.6418356597423553,0.8217105263157894
2,1560,1.6463560152053833,0.8262820512820512
2,1600,1.6395390510559082,0.82625
2,1640,1.6387633727147028,0.823780487804878
2,1680,1.6401966280407376,0.8196428571428571
2,1720,1.7086963653564453,0.7569767441860465
2,1760,1.6585036260741097,0.8107954545454545
2,1800,1.6406714217416172,0.8205555555555556
2,1840,1.8030448782032933,0.6565217391304348
2,1880,1.6466858545939127,0.8170212765957446
2,1920,1.6460050861040751,0.8203125
2,1960,1.6375408941699612,0.8301020408163265
2,2000,1.638119149953127,0.8285
3,40,1.9685800075531006,0.5
3,80,1.961991012096405,0.4875
3,120,1.8791534900665283,0.5666666666666667
3,160,1.855305552482605,0.6375
3,200,1.8269203007221222,0.655
3,240,1.841985285282135,0.6541666666666667
3,280,1.8971788167953492,0.5607142857142857
3,320,1.8136057615280152,0.6625
3,360,1.7722915013631184,0.7027777777777777
3,400,1.8346836056028093,0.63
3,440,1.7691377401351929,0.6840909090909091
3,480,1.7237406522035599,0.7520833333333333
3,520,1.7727243370480008,0.698076923076923
3,560,1.7445080412758722,0.7285714285714285
3,600,1.6864627003669739,0.79
3,640,1.7487401604652404,0.7265625
3,680,1.7386960766532205,0.7397058823529412
3,720,1.673763593037923,0.8083333333333333
3,760,1.7063624362150829,0.7697368421052632
3,800,1.664748659500709,0.805
3,840,1.674680428845542,0.8
3,880,1.6532320891107832,0.8125
3,920,1.6460702180862428,0.816304347826087
3,960,1.6597256819407145,0.8041666666666667
3,1000,1.814774975180626,0.648
3,1040,1.6655174213297226,0.7990384615384616
3,1080,1.6579707720700432,0.8101851851851852
3,1120,1.636630654335022,0.8401785714285714
3,1160,1.6406141895996897,0.8112068965517242
3,1200,1.6487009023365222,0.825
3,1240,1.632472711801529,0.8346774193548387
3,1280,1.6496499061584473,0.8015625
3,1320,1.6386492990312123,0.8325757575757575
3,1360,1.6614940112287349,0.8147058823529412
3,1400,1.6505590135400945,0.8235714285714286
3,1440,1.6539151979529338,0.8111111111111111
3,1480,1.6330034881830215,0.8385135135135136
3,1520,1.638773649930954,0.8355263157894737
3,1560,1.6416286516189575,0.8314102564102565
3,1600,1.6316824054718018,0.841875
3,1640,1.6201174442584698,0.8426829268292683
3,1680,1.6304529110590618,0.830952380952381
3,1720,1.6471464015819408,0.8145348837209302
3,1760,1.649240540606635,0.8176136363636364
3,1800,1.6468369960784912,0.805
3,1840,1.6204084363476983,0.8445652173913043
3,1880,1.619163489341736,0.8425531914893617
3,1920,1.6217408935228983,0.85625
3,1960,1.6202611730944725,0.8591836734693877
3,2000,1.6242008171975613,0.8415
4,40,1.968213677406311,0.575
4,80,1.8202536702156067,0.625
4,120,1.8966569304466248,0.5666666666666667
4,160,1.905766487121582,0.55625
4,200,1.9190510511398315,0.575
4,240,1.7518898844718933,0.7166666666666667
4,280,1.7293327808380128,0.7642857142857142
4,320,1.707690715789795,0.746875
4,360,1.707960883776347,0.7722222222222223
4,400,1.7167338984353202,0.775
4,440,1.7051430770329066,0.7795454545454545
4,480,1.7246728241443634,0.75625
4,520,1.679083572493659,0.7653846153846153
4,560,1.715558197763231,0.7482142857142857
4,600,1.6931289792060853,0.7766666666666666
4,640,1.6978079676628113,0.778125
4,680,1.6894434148615056,0.7852941176470588
4,720,1.719325949748357,0.7569444444444444
4,760,1.7181591391563416,0.7460526315789474
4,800,1.712146098797138,0.7575
4,840,1.6847438556807381,0.7869047619047619
4,880,1.702775980745043,0.759090909090909
4,920,1.7285981098810832,0.7402173913043478
4,960,1.7208631356557211,0.746875
4,1000,1.6917262524366379,0.782
4,1040,1.7265089610043693,0.7490384615384615
4,1080,1.6986374855041504,0.7620370370370371
4,1120,1.7154912683698866,0.7517857142857143
4,1160,1.706842861677471,0.7551724137931034
4,1200,1.7094609925621433,0.7575
4,1240,1.6931957483291626,0.7653225806451613
4,1280,1.6638458311557769,0.796875
4,1320,1.6476135537737893,0.8113636363636364
4,1360,1.659008340402083,0.8110294117647059
4,1400,1.655943583358418,0.81
4,1440,1.6479761030363,0.8173611111111111
4,1480,1.7058189113934834,0.7655405405405405
4,1520,1.638110692302386,0.8164473684210526
4,1560,1.6489929676055908,0.8185897435897436
4,1600,1.6409734964370728,0.815
4,1640,1.692709757731511,0.774390243902439
