run,train_size,Loss,Accuracy
0,40,2.178560495376587,0.325
0,80,2.080652356147766,0.375
0,120,1.9919427037239075,0.475
0,160,1.8889600435892742,0.61875
0,200,1.973190039396286,0.475
0,240,1.843800812959671,0.5875
0,280,1.9310110330581665,0.5607142857142857
0,320,2.0042563676834106,0.446875
0,360,1.8422982494036357,0.6527777777777778
0,400,1.9157694237572807,0.57
0,440,1.8543463093893868,0.6363636363636364
0,480,1.9874906241893768,0.4666666666666667
0,520,1.8326189253065321,0.6038461538461538
0,560,1.8923061158921983,0.5839285714285715
0,600,1.9258867144584655,0.5466666666666666
0,640,1.9016567707061767,0.565625
0,680,1.9453046105124734,0.5264705882352941
0,720,1.9006951948006947,0.5486111111111112
0,760,1.885859618584315,0.5657894736842105
0,800,1.9270993654544537,0.545
0,840,2.029493578842708,0.430952380952381
0,880,1.8976694175175257,0.5761363636363637
0,920,1.980969738960266,0.4880434782608696
0,960,1.888706056276957,0.5645833333333333
0,1000,1.8788727670907974,0.607
0,1040,1.965089103754829,0.5086538461538461
0,1080,1.8997328982633703,0.562962962962963
0,1120,1.8441952996783786,0.6241071428571429
0,1160,1.8641487548225804,0.5913793103448276
0,1200,2.0172144676509656,0.455
0,1240,1.893574947118759,0.5911290322580646
0,1280,1.8667999267578126,0.615625
0,1320,1.8315019323712303,0.6530303030303031
0,1360,1.8903721570968628,0.5933823529411765
0,1400,1.8918029503388838,0.5914285714285714
0,1440,1.8820165240246316,0.5784722222222223
0,1480,1.9365384876728058,0.5304054054054054
0,1520,1.8541913280884426,0.625
0,1560,1.8805479001998902,0.610897435897436
0,1600,1.899385495185852,0.57125
0,1640,1.8435705029047453,0.6274390243902439
0,1680,1.876665296377959,0.5857142857142857
0,1720,2.277453793419732,0.18372093023255814
0,1760,1.849815892321723,0.63125
0,1800,1.8581594475384415,0.6127777777777778
0,1840,1.8195622460595493,0.6690217391304348
0,1880,1.7915661811828614,0.6978723404255319
0,1920,1.7623974998792014,0.715625
0,1960,1.9241458600567234,0.5561224489795918
0,2000,1.7557875737547874,0.703
1,40,2.142947196960449,0.3
1,80,2.1173778772354126,0.325
1,120,2.0804836750030518,0.375
1,160,2.068115472793579,0.41875
1,200,2.020605206489563,0.45
1,240,1.899744302034378,0.5291666666666667
1,280,1.8898526430130005,0.6035714285714285
1,320,1.9093080759048462,0.540625
