run,train_size,Loss,Accuracy
0,40,1.5555113554000854,0.925
0,80,1.5935958623886108,0.875
0,120,1.5674253106117249,0.8833333333333333
0,160,1.5943114757537842,0.8875
0,200,1.6625931560993195,0.82
0,240,1.5500591397285461,0.9125
0,280,1.5381956815719604,0.95
0,320,1.541226601600647,0.91875
0,360,1.5739204088846843,0.9
0,400,1.5853111403329032,0.8725
0,440,1.6528501680919103,0.8090909090909091
0,480,1.5904889553785324,0.8791666666666667
0,520,1.5789169602923923,0.8769230769230769
0,560,1.5812553697162204,0.8839285714285714
0,600,1.5957324624061584,0.8583333333333333
0,640,1.5383226037025453,0.9203125
0,680,1.5831874283877285,0.8794117647058823
0,720,1.5778503616650899,0.8819444444444444
0,760,1.5926993091901143,0.8763157894736842
0,800,1.5133304412548358,0.955
0,840,1.565444997378758,0.9035714285714286
0,880,1.5408349462917872,0.9136363636363637
0,920,1.5341310421625773,0.9271739130434783
0,960,1.5165022293726602,0.946875
0,1000,1.5247040912508965,0.935
0,1040,1.5243016551522648,0.9509615384615384
0,1080,1.532982678974376,0.9361111111111111
0,1120,1.5348384843932257,0.9428571428571428
0,1160,1.549758609972502,0.9241379310344827
0,1200,1.527146395884062,0.9433333333333334
0,1240,1.5217849791049958,0.9403225806451613
0,1280,1.518940705060959,0.9375
0,1320,1.5289522125607444,0.9386363636363636
0,1360,1.5286480079997669,0.9404411764705882
0,1400,1.5376943295652217,0.9307142857142857
0,1440,1.5500043993410857,0.9173611111111111
0,1480,1.522611454129219,0.9405405405405406
0,1520,1.5255274176597595,0.9243421052631579
0,1560,1.5259305810928345,0.9346153846153846
0,1600,1.5354901695251464,0.933125
0,1640,1.5243596526292653,0.9469512195121951
0,1680,1.5315210024515789,0.9321428571428572
0,1720,1.5295398367775812,0.9430232558139535
0,1760,1.5193702663694109,0.9414772727272728
0,1800,1.5240662426784122,0.9422222222222222
0,1840,1.530075323992762,0.9375
0,1880,1.5255908528963724,0.9404255319148936
0,1920,1.5286263863245646,0.928125
0,1960,1.524902509104821,0.9423469387755102
0,2000,1.5182095617055893,0.9475
1,40,1.6077039241790771,0.9
1,80,1.5498842000961304,0.8875
1,120,1.5900626182556152,0.8666666666666667
1,160,1.5530251264572144,0.93125
1,200,1.6259431838989258,0.855
1,240,1.5720875561237335,0.9166666666666666
1,280,1.5651807546615601,0.8964285714285715
1,320,1.5627790212631225,0.940625
1,360,1.5962854027748108,0.875
1,400,1.544414690562657,0.9175
1,440,1.5231864282063075,0.9431818181818182
1,480,1.591213122010231,0.8770833333333333
1,520,1.56445136335161,0.8980769230769231
1,560,1.5306530396143596,0.9392857142857143
1,600,1.5474371790885926,0.9166666666666666
1,640,1.5224008202552795,0.93125
1,680,1.5879179022528909,0.8676470588235294
1,720,1.5193656186262767,0.9458333333333333
1,760,1.5885452727476757,0.881578947368421
1,800,1.5803707562960112,0.87875
1,840,1.5174609763281686,0.9547619047619048
1,880,1.5682142121451241,0.9068181818181819
1,920,1.6017977873484293,0.8608695652173913
1,960,1.5230744759241739,0.9427083333333334
1,1000,1.5953858941793442,0.871
1,1040,1.5656384229660034,0.8990384615384616
1,1080,1.6029976395999683,0.8629629629629629
1,1120,1.5382269753350153,0.9401785714285714
1,1160,1.5509054535313656,0.9094827586206896
1,1200,1.5855542546824406,0.8741666666666666
1,1240,1.5363372623920442,0.9362903225806452
1,1280,1.595684403181076,0.8703125
1,1320,1.5283164126532418,0.9401515151515152
1,1360,1.5929445786909624,0.8786764705882353
1,1400,1.5274308865720576,0.9271428571428572
1,1440,1.531495249789694,0.9305555555555556
1,1480,1.5265548676252365,0.9385135135135135
1,1520,1.535171111424764,0.9368421052631579
1,1560,1.5505179357528687,0.8961538461538462
1,1600,1.561941041946411,0.91375
1,1640,1.5969495819165156,0.8713414634146341
1,1680,1.524240776344582,0.9363095238095238
1,1720,1.5735978991897017,0.8854651162790698
1,1760,1.566613597529275,0.9
1,1800,1.60848776225386,0.8511111111111112
1,1840,1.532134824785693,0.9331521739130435
1,1880,1.5210621674855551,0.949468085106383
1,1920,1.5250835458437602,0.9359375
1,1960,1.5265579800451956,0.9448979591836735
1,2000,1.5424132123589516,0.922
2,40,1.615160346031189,0.85
2,80,1.7566758394241333,0.7625
2,120,1.5581673979759216,0.9166666666666666
2,160,1.5581228335698445,0.925
2,200,1.6600197851657867,0.785
2,240,1.5900406539440155,0.8791666666666667
2,280,1.575503373146057,0.9178571428571428
2,320,1.5340182781219482,0.928125
2,360,1.5358821153640747,0.9361111111111111
2,400,1.5682530914034163,0.8825
2,440,1.629149317741394,0.8272727272727273
2,480,1.6174181699752808,0.8541666666666666
