run,train_size,Loss,Accuracy
0,40,1.5845873355865479,0.875
0,80,1.4928873181343079,0.9875
0,120,1.4836634993553162,0.9833333333333333
0,160,1.5811946789423625,0.9
0,200,1.503425657749176,0.98
0,240,1.5004484057426453,0.9833333333333333
0,280,1.498280119895935,0.9821428571428571
0,320,1.4946244716644288,0.98125
0,360,1.5300230185190837,0.9611111111111111
0,400,1.513959492955889,0.9625
0,440,1.5183283601488387,0.9704545454545455
0,480,1.5146282613277435,0.9645833333333333
0,520,1.5415735244750977,0.9653846153846154
0,560,1.510905385017395,0.9660714285714286
0,600,1.53260498046875,0.9616666666666667
0,640,1.5235621094703675,0.9640625
0,680,1.513541416688399,0.9632352941176471
0,720,1.517508606115977,0.9638888888888889
0,760,1.5293085873126984,0.9539473684210527
0,800,1.5298808537996733,0.94625
0,840,1.5278788379260473,0.9523809523809523
0,880,1.520003514630454,0.9602272727272727
0,920,1.527445872624715,0.9565217391304348
0,960,1.5235803604125977,0.95625
0,1000,1.5126129761338234,0.962
0,1040,1.51693216492148,0.9576923076923077
0,1080,1.5196738523595474,0.9583333333333334
0,1120,1.5260839660962422,0.9553571428571429
0,1160,1.5240684998662848,0.9560344827586207
0,1200,1.5354653910586709,0.9433333333333334
0,1240,1.546380841732025,0.9403225806451613
0,1280,1.5178531169891358,0.95859375
0,1320,1.546147386233012,0.9416666666666667
0,1360,1.524602478200739,0.9588235294117647
0,1400,1.515178761698983,0.9592857142857143
0,1440,1.538433603618456,0.9486111111111111
0,1480,1.5413883278767269,0.9445945945945946
0,1520,1.5252922823031743,0.9585526315789473
0,1560,1.529797201156616,0.9544871794871795
0,1600,1.526628246307373,0.955625
0,1640,1.5191672948690562,0.9597560975609756
0,1680,1.529292658523277,0.9553571428571429
0,1720,1.6028325425253973,0.8668604651162791
0,1760,1.572858248438154,0.9176136363636364
0,1800,1.5224524366444554,0.9577777777777777
0,1840,1.5369207406866139,0.9527173913043478
0,1880,1.5240454872449238,0.9553191489361702
0,1920,1.5228736718495688,0.9520833333333333
0,1960,1.5272275786246023,0.9556122448979592
0,2000,1.5330299586057663,0.9515
1,40,1.600960373878479,0.875
1,80,1.5634244680404663,0.8875
1,120,1.5167129635810852,0.9583333333333334
1,160,1.5027173360188801,0.9625
1,200,1.5253465175628662,0.965
1,240,1.5423551797866821,0.9416666666666667
1,280,1.502224898338318,0.975
1,320,1.5450977563858033,0.946875
1,360,1.5098610321680705,0.9638888888888889
1,400,1.5257562398910522,0.96
1,440,1.4977248396192278,0.975
1,480,1.5232239365577698,0.96875
1,520,1.5338692400190566,0.9538461538461539
1,560,1.5256226989958022,0.9517857142857142
1,600,1.525627565383911,0.955
1,640,1.5110446691513062,0.9640625
1,680,1.5057055083188144,0.9632352941176471
1,720,1.555761307477951,0.9472222222222222
1,760,1.515615850687027,0.9605263157894737
1,800,1.5258858295587392,0.96
1,840,1.554328773702894,0.9273809523809524
1,880,1.515851046357836,0.9602272727272727
1,920,1.5310055335362753,0.95
1,960,1.5197957038879395,0.95625
1,1000,1.515492931008339,0.957
1,1040,1.5183365905986113,0.9586538461538462
1,1080,1.519944990382475,0.9583333333333334
1,1120,1.520263393719991,0.9571428571428572
1,1160,1.5320335814827366,0.9517241379310345
1,1200,1.5964126461430599,0.8816666666666667
1,1240,1.5310894191265105,0.9548387096774194
1,1280,1.5395612061023711,0.9578125
1,1320,1.5186965181714012,0.9492424242424242
1,1360,1.5269985090602527,0.9529411764705882
1,1400,1.5212847644632512,0.965
1,1440,1.5249518518862517,0.9548611111111112
1,1480,1.561451370517413,0.9493243243243243
1,1520,1.5309374630451202,0.9552631578947368
1,1560,1.531580319404602,0.9538461538461539
1,1600,1.5235979223251344,0.95625
1,1640,1.5248843156374419,0.9548780487804878
1,1680,1.5221403263233326,0.9529761904761904
1,1720,1.5199141016712896,0.9517441860465117
1,1760,1.5353613368102483,0.9482954545454545
1,1800,1.5214030454898704,0.9588888888888889
1,1840,1.5230258497698554,0.9543478260869566
1,1880,1.5363041440645853,0.9457446808510638
1,1920,1.5282323479652404,0.9578125
1,1960,1.5333963094219085,0.9520408163265306
1,2000,1.5277820490300655,0.9545
2,40,1.666682481765747,0.825
2,80,1.5518357157707214,0.9875
2,120,1.5884860157966614,0.95
2,160,1.5813322067260742,0.925
2,200,1.5696404576301575,0.955
2,240,1.5318971276283264,0.95
2,280,1.5172902822494507,0.9678571428571429
2,320,1.607800793647766,0.878125
2,360,1.5282060106595357,0.9583333333333334
2,400,1.538902418954032,0.9575
2,440,1.5121262754712785,0.9681818181818181
2,480,1.5075269043445587,0.96875
2,520,1.501884725358751,0.9653846153846154
2,560,1.5117177830802069,0.9607142857142857
2,600,1.515999162197113,0.9733333333333334
2,640,1.516631507873535,0.959375
2,680,1.5110330256548794,0.9588235294117647
2,720,1.5158884624640148,0.9666666666666667
2,760,1.529532214005788,0.9618421052631579
2,800,1.5281865046574519,0.9525
2,840,1.5338343296732222,0.9571428571428572
2,880,1.5323989135878426,0.9522727272727273
2,920,1.522463615735372,0.9608695652173913
2,960,1.522754693031311,0.9635416666666666
2,1000,1.5233898311853409,0.962
2,1040,1.5257508894976448,0.9576923076923077
2,1080,1.5144733541152056,0.9638888888888889
2,1120,1.5108703639772203,0.9651785714285714
2,1160,1.517842775896976,0.9586206896551724
2,1200,1.5278532818744057,0.9558333333333333
2,1240,1.5276117503643036,0.9548387096774194
2,1280,1.524857944250107,0.95703125
2,1320,1.5285841567175729,0.9553030303030303
2,1360,1.5224938663569363,0.9588235294117647
2,1400,1.5203497843308882,0.9571428571428572
2,1440,1.5232745875482974,0.9569444444444445
2,1480,1.5268935908873875,0.9540540540540541
2,1520,1.5252525458733242,0.9552631578947368
2,1560,1.5328485584259033,0.9532051282051283
2,1600,1.5199167346954345,0.958125
2,1640,1.5214271224462068,0.9591463414634146
2,1680,1.5282739003499348,0.9482142857142857
2,1720,1.527462292600561,0.9569767441860465
2,1760,1.5253593197890691,0.9579545454545455
2,1800,1.5454833343111236,0.9377777777777778
2,1840,1.5236602610555188,0.9559782608695652
2,1880,1.5224222620328267,0.9542553191489361
2,1920,1.5243861556053162,0.9536458333333333
2,1960,1.53217654074392,0.9510204081632653
2,2000,1.523037038743496,0.9505
3,40,1.5616095066070557,0.925
3,80,1.545264720916748,0.9
3,120,1.583831548690796,0.8833333333333333
3,160,1.5257548888524373,0.975
3,200,1.5169098377227783,0.96
3,240,1.4817031621932983,0.9875
3,280,1.5426776885986329,0.9428571428571428
3,320,1.4973746538162231,0.971875
3,360,1.5529868205388386,0.95
3,400,1.513222098350525,0.97
3,440,1.5137306111199516,0.9704545454545455
3,480,1.5597970187664032,0.9541666666666667
3,520,1.5076711310280695,0.9615384615384616
3,560,1.5321636862225003,0.9660714285714286
3,600,1.5183252692222595,0.96
3,640,1.5131430506706238,0.9640625
3,680,1.5202239968559959,0.9632352941176471
3,720,1.5236380100250244,0.9583333333333334
3,760,1.515081246693929,0.9631578947368421
3,800,1.520877012839684,0.96125
3,840,1.5436710374695914,0.95
3,880,1.5345870000975472,0.9534090909090909
3,920,1.5394477844238281,0.9586956521739131
3,960,1.505735445022583,0.9708333333333333
3,1000,1.5303424671292305,0.946
3,1040,1.5915365569731768,0.8807692307692307
3,1080,1.5210555651608635,0.9592592592592593
3,1120,1.5210227701399062,0.9598214285714286
3,1160,1.518961373128389,0.9629310344827586
3,1200,1.5129478040494417,0.9591666666666666
3,1240,1.517904281616211,0.964516129032258
3,1280,1.5209829330444335,0.9640625
3,1320,1.517958470753261,0.9545454545454546
3,1360,1.5088572068647905,0.9632352941176471
3,1400,1.5099667527458884,0.9607142857142857
3,1440,1.5229226195293923,0.9604166666666667
3,1480,1.5333152959744136,0.9547297297297297
3,1520,1.5416233936945598,0.9506578947368421
3,1560,1.523583550453186,0.9602564102564103
3,1600,1.5286265230178833,0.9575
