run,train_size,Loss,Accuracy
0,40,1.8194036483764648,0.6
0,80,1.8754480481147766,0.7
0,120,1.7704716920852661,0.6
0,160,1.7262753248214722,0.6916666666666667
0,200,1.9728694558143616,0.73125
0,240,2.0562029480934143,0.485
0,280,1.6511728763580322,0.4083333333333333
0,320,1.724044179916382,0.825
0,360,1.7349358995755513,0.740625
0,400,1.7025659084320068,0.7444444444444445
0,440,1.5911227464675903,0.7625
0,480,1.6940756142139435,0.884090909090909
0,520,1.618934326701694,0.76875
0,560,1.7121905883153279,0.8673076923076923
0,600,1.665921115875244,0.7482142857142857
0,640,1.6326248407363892,0.8116666666666666
0,680,1.5962278951298108,0.834375
0,720,1.655112663904826,0.8808823529411764
0,760,1.6638293862342834,0.8
0,800,1.641924417935885,0.8
0,840,1.706268583025251,0.82
0,880,1.6317352567400252,0.7952380952380952
0,920,1.6151108582814535,0.8284090909090909
0,960,1.5792892535527547,0.8478260869565217
0,1000,1.5356292426586151,0.8833333333333333
0,1040,1.5849525507758646,0.927
0,1080,1.5266247777377857,0.8730769230769231
0,1120,1.5708922611342535,0.937037037037037
0,1160,1.525766322487279,0.89375
0,1200,1.5642661985598112,0.9362068965517242
0,1240,1.5794987440109254,0.8975
0,1280,1.5114262223243713,0.8838709677419355
0,1320,1.558413340931847,0.9546875
0,1360,1.5643840919841419,0.896969696969697
0,1400,1.5412351055578752,0.899264705882353
0,1440,1.5333222980084626,0.9257142857142857
0,1480,1.508911927541097,0.9423611111111111
0,1520,1.5545146018266678,0.9513513513513514
0,1560,1.519437584877014,0.9072368421052631
0,1600,1.525633134841919,0.941025641025641
0,1640,1.530928841004005,0.936875
0,1680,1.537495701401322,0.9335365853658537
0,1720,1.5311608535272103,0.924404761904762
0,1760,1.5144304037094116,0.9337209302325581
0,1800,1.5326448678970337,0.9477272727272728
0,1840,1.5418442939889843,0.9261111111111111
0,1880,1.530778948465983,0.9217391304347826
0,1920,1.530536162853241,0.9361702127659575
0,1960,1.5280892233694754,0.9411458333333333
0,2000,1.5390266440808773,0.9392857142857143
1,40,1.9172687530517578,0.575
1,80,1.7970881462097168,0.575
1,120,1.858390212059021,0.575
1,160,1.9038592179616292,0.6
1,200,2.0744319558143616,0.55625
1,240,1.6836348176002502,0.46
1,280,1.9861508846282958,0.7875
1,320,2.015805649757385,0.48928571428571427
1,360,2.023650844891866,0.440625
1,400,2.048551116670881,0.44166666666666665
1,440,1.5660285949707031,0.43
1,480,2.371307134628296,0.9045454545454545
1,520,1.6369594070646498,0.0875
1,560,1.5854165686501398,0.8096153846153846
1,600,1.59274765253067,0.8803571428571428
1,640,1.641487729549408,0.8683333333333333
1,680,1.6159820339896462,0.8203125
1,720,1.637344737847646,0.8529411764705882
1,760,1.6236251990000408,0.8305555555555556
1,800,1.628620092685406,0.8473684210526315
1,840,1.663834035396576,0.84375
1,880,1.7002055644989014,0.7845238095238095
1,920,1.6809517780939738,0.7625
