run,train_size,Loss,Accuracy
1,440,1.9585686581475394,0.5068181818181818
1,480,1.9611508548259735,0.5020833333333333
1,520,1.7954029109742906,0.6576923076923077
1,560,1.9640443854861789,0.5
1,600,1.9866717100143432,0.47
1,640,1.69434996843338,0.775
1,680,1.7268321514129639,0.7411764705882353
1,720,1.9520362615585327,0.5013888888888889
1,760,1.9853324095408122,0.4763157894736842
1,800,2.0032163766714244,0.455
1,840,1.730348757335118,0.7440476190476191
1,880,1.992397972515651,0.46704545454545454
1,920,1.6522476434707642,0.825
1,960,1.6686418453852336,0.8041666666666667
1,1000,1.6639919504523277,0.8
1,1040,1.954717012012706,0.5096153846153846
1,1080,1.762562969151665,0.687962962962963
1,1120,1.9463939269383748,0.5107142857142857
1,1160,1.6986562641043412,0.7681034482758621
1,1200,1.9485409824471724,0.5125
1,1240,1.7350748479366302,0.7274193548387097
1,1280,1.9463071286678315,0.51484375
1,1320,1.958022883960179,0.5053030303030303
1,1360,1.6090338717807422,0.8514705882352941
1,1400,1.7247005105018616,0.7342857142857143
1,1440,1.9523193628891655,0.5090277777777777
1,1480,1.9644060482581456,0.4966216216216216
1,1520,1.6130628337462742,0.8486842105263158
1,1560,1.5790807056427,0.8935897435897436
1,1600,1.9692758750915527,0.491875
1,1640,1.639941435593825,0.824390243902439
1,1680,1.6151407868773848,0.8535714285714285
1,1720,1.615173821096067,0.8453488372093023
1,1760,1.5762878528663091,0.8823863636363637
1,1800,1.5873208087066124,0.8672222222222222
1,1840,1.5581509532599613,0.9103260869565217
1,1880,1.5822531739870707,0.8930851063829788
1,1920,1.548298180103302,0.9135416666666667
1,1960,1.598890204583445,0.8683673469387755
1,2000,1.5894221104681492,0.872
2,40,1.9252601861953735,0.525
2,80,1.7565152049064636,0.675
2,120,1.7899069786071777,0.675
2,160,1.8272772630055745,0.63125
2,200,1.7814631760120392,0.695
2,240,1.870005041360855,0.5916666666666667
2,280,1.781215286254883,0.6535714285714286
2,320,1.883025860786438,0.578125
2,360,1.9278173844019573,0.5305555555555556
2,400,1.9652825253350394,0.4875
2,440,1.7406449488231115,0.7431818181818182
2,480,1.8980790823698044,0.5645833333333333
